taxon,year
araneus aculeatus,1757
araneus amentatus,1757
araneus angulatus,1757
araneus aquaticus,1757
araneus,1757
araneus arcuatus,1757
araneus aureolus,1757
araneus bucculentus,1757
araneus castaneus,1757
araneus cellulanus,1757
araneus cornutus,1757
araneus cristatus,1757
araneus cucurbitinus,1757
araneus cuneatus,1757
araneus diadematus,1757
araneus domesticus,1757
araneus fabrilis,1757
araneus falcatus,1757
araneus fimbriatus,1757
araneus flammatus,1757
araneus formicinus,1757
araneus formosus,1757
araneus fumigatus,1757
araneus hamatus,1757
araneus hastatus,1757
araneus inquilinus,1757
araneus labyrinthicus,1757
araneus lignarius,1757
araneus lineatus,1757
araneus lunatus,1757
araneus margaritatus,1757
araneus mirabilis,1757
araneus montanus,1757
araneus monticola,1757
araneus muscosus,1757
araneus nivalis,1757
araneus ocellatus,1757
araneus ovatus,1757
araneus pallidulus,1757
araneus paludicola,1757
araneus patagiatus,1757
araneus piraticus,1757
araneus piscatorius,1757
araneus plantarius,1757
araneus pullatus,1757
araneus pulverulentus,1757
araneus quadratus,1757
araneus redimitus,1757
araneus roseus,1757
araneus scenicus,1757
araneus sclopetarius,1757
araneus segmentatus,1757
araneus sericatus,1757
araneus sisyphius,1757
araneus striatus,1757
araneus terebratus,1757
araneus trabalis,1757
araneus triangularis,1757
araneus umbraticus,1757
araneus undatus,1757
araneus v-insignitus,1757
araneus v-notatus,1757
araneus vatius,1757
araneus virescens,1757
araneus w-insignitus,1757
araneus x-notatus,1757
curculio abbreviatus,1758
gorgonia abies,1758
sertularia abietina,1758
chermes abietis,1758
cimex abietis,1758
curculio abietis,1758
tenthredo abietis,1758
aphis absinthii,1758
cimex acantharis,1758
squalus acanthias,1758
mutilla acarorum,1758
acarus,1758
papilio acastus,1758
psittacus accipitrinus,1758
chermes aceris,1758
phalaena aceris,1758
apis acervorum,1758
papilio acesta,1758
madrepora acetabulum,1758
bulla achatina,1758
acheta,1758
papilio achilles,1758
pleuronectes achirus,1758
acipenser,1758
motacilla acredula,1758
acrida,1758
curculio acridulus,1758
scarabaeus actaeon,1758
aphrodita aculeata,1758
mordella aculeata,1758
cardium aculeatum,1758
balistes aculeatus,1758
chiton aculeatus,1758
gasterosteus aculeatus,1758
chaetodon acuminatus,1758
cimex acuminatus,1758
gryllus acuminatus,1758
syngnathus acus,1758
anas acuta,1758
turbo acutangulus,1758
anas adunca,1758
cerambyx aedilis,1758
papilio aegeria,1758
gadus aeglefinus,1758
scolopax aegocephalus,1758
sphex aegyptia,1758
blatta aegyptiaca,1758
acarus aegyptius,1758
canis aegyptius,1758
charadrius aegyptius,1758
cimex aegyptius,1758
cantharis aenea,1758
chrysomela aenea,1758
gorgonia aenea,1758
libellula aenea,1758
papilio aeneas,1758
cancer aeneus,1758
elater aeneus,1758
ardea aequinoctialis,1758
chrysomela aequinoctialis,1758
musca aequinoctialis,1758
procellaria aequinoctialis,1758
medusa aequorea,1758
syngnathus aequoreus,1758
papilio aeropa,1758
falco aeruginosus,1758
psittacus aeruginosus,1758
coluber aesculapii,1758
silpha aestiva,1758
psittacus aestivus,1758
apis aestuans,1758
chrysomela aestuans,1758
musca aestuans,1758
phalaena aestuata,1758
phaethon aethereus,1758
voluta aethiopica,1758
simia aethiops,1758
homo afer,1758
scorpio afer,1758
otis afra,1758
blatta africana,1758
ovis africana,1758
